Verb,Route,Method,Renderer,Location,Archive,Endpoint Suffix
GET,/project/<pid>/node/<nid>/github/hgrid/,views.hgrid.github_hgrid_data_contents,json_renderer,github,,
GET,/project/<pid>/node/<nid>/github/hgrid/<path:path>/,views.hgrid.github_hgrid_data_contents,json_renderer,github,,
GET,/project/<pid>/node/<nid>/github/hgrid/root/,views.hgrid.github_root_folder_public,json_renderer,github,,
POST,/project/<pid>/node/<nid>/github/hook/,views.hooks.github_hook_callback,json_renderer,github,,
GET,/project/<pid>/node/<nid>/github/oauth/,views.auth.github_oauth_start,json_renderer,github,,
DELETE,/project/<pid>/node/<nid>/github/oauth/,views.auth.github_oauth_deauthorize_node,json_renderer,github,,
POST,/project/<pid>/node/<nid>/github/settings/,views.config.github_set_config,json_renderer,github,,
GET,/project/<pid>/node/<nid>/github/tarball/,views.crud.github_download_starball,json_renderer,github,tar,__tar
POST,/project/<pid>/node/<nid>/github/user_auth/,views.auth.github_add_user_auth,json_renderer,github,,
GET,/project/<pid>/node/<nid>/github/zipball/,views.crud.github_download_starball,json_renderer,github,zip,__zip
POST,/project/<pid>/node/<nid>/invite_contributor/,project_views.contributor.invite_contributor_post,json_renderer,website,,
GET,/project/<pid>/node/<nid>/keys/,project_views.key.get_node_keys,json_renderer,website,,
GET,/project/<pid>/node/<nid>/log/,project_views.log.get_logs,json_renderer,website,,
POST,/project/<pid>/node/<nid>/osffiles/,views.upload_file_public,json_renderer,osffiles,,
GET,/project/<pid>/node/<nid>/osffiles/<fid>/,views.download_file,OsfWebRenderer,osffiles,,
DELETE,/project/<pid>/node/<nid>/osffiles/<fid>/,views.delete_file,json_renderer,osffiles,,
GET,/project/<pid>/node/<nid>/osffiles/<fid>/info/,views.file_info,json_renderer,osffiles,,
GET,/project/<pid>/node/<nid>/osffiles/<fid>/version/<vid>/,views.download_file_by_version,json_renderer,osffiles,,
GET,/project/<pid>/node/<nid>/osffiles/<fid>/version/<vid>/render/,views.osffiles_get_rendered_file,json_renderer,osffiles,,
GET,/project/<pid>/node/<nid>/osffiles/hgrid/,views.get_osffiles_public,json_renderer,osffiles,,
GET,/project/<pid>/node/<nid>/osffiles/hgrid/<path:path>/,views.get_osffiles_public,json_renderer,osffiles,,
POST,/project/<pid>/node/<nid>/permissions/<permissions>/,project_views.node.project_set_privacy,json_renderer,website,,
GET,/project/<pid>/node/<nid>/permissions/beforepublic/,project_views.node.project_before_set_public,json_renderer,website,,
GET,/project/<pid>/node/<nid>/pointer/,project_views.node.get_pointed,json_renderer,website,,
POST,/project/<pid>/node/<nid>/pointer/,project_views.node.add_pointers,json_renderer,website,,
POST,/project/<pid>/node/<nid>/pointer/fork/,project_views.node.fork_pointer,json_renderer,website,,
POST,/project/<pid>/node/<nid>/private_link/,project_views.node.project_generate_private_link_post,json_renderer,website,,
DELETE,/project/<pid>/node/<nid>/private_link/,project_views.node.remove_private_link,json_renderer,website,,
GET,/project/<pid>/node/<nid>/private_link/,project_views.node.private_link_table,json_renderer,website,,
PUT,/project/<pid>/node/<nid>/private_link/edit/,project_views.node.project_private_link_edit,json_renderer,website,,
